Sample,,,,,,,TEP_d15 Results,,,TCEP_d12 Results,,,DEP_d4 Results,,,TCPP_d15 Results,,,13C_TPP Results,,,DnBP_d4 Results,,,BEHP_d4 Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,Height,RT,Area,Height,RT,Area,Height,RT,Area,Height,RT,Area,Height,RT,Area,Height,RT,Area,Height
,!,BLANK 1A,JO1AA.d,Sample,,6/20/2023 12:08 PM,8.123,441900,58569,9.531,373786,55198,9.139,1226149,86896,13.409,8050,1856,13.571,7666493,1929510,14.218,1082833,307197,16.734,1649057,564973
,!,SAMPLE 2A,JO2A.d,Sample,,6/20/2023 1:22 PM,7.962,139914,14715,9.370,345891,47403,9.532,0,0,13.317,7581,1968,13.456,7496561,1934573,14.102,1061266,319278,16.595,3539153,1184091
,!,BLANK 2A,JO2AA.d,Sample,,6/20/2023 12:32 PM,7.940,238854,27493,9.325,479709,71126,9.140,0,0,13.296,7952,1705,13.457,9401988,2331581,14.127,1392355,418543,16.666,4984670,1999984
,,SAMPLE 3A,JO3A.d,Sample,,6/20/2023 1:47 PM,7.892,0,0,9.554,355877,46551,9.115,0,0,13.432,8771,2406,13.570,8064139,1948450,14.217,1043036,305022,16.594,2039965,682570
,!,SAMPLE 1A,JO1A.d,Sample,,6/20/2023 12:57 PM,7.866,276083,28069,9.227,379731,50987,10.843,0,0,13.198,6509,1627,13.359,7835649,1957210,14.006,1146145,341201,16.660,1891367,631552
,!,SAMPLE 4A,JO4AB.d,Sample,,6/20/2023 7:05 PM,7.125,66034,8132,8.487,211344,34924,10.126,0,0,12.758,5109,1337,12.942,7691738,2031247,13.635,863076,236839,16.520,3951756,1604807
,!,SAMPLE 1B,JO1B.d,Sample,,6/21/2023 11:01 AM,7.058,43386,4783,8.397,66581,16652,10.036,0,0,12.690,3924,1197,12.898,7000151,1858628,13.591,786353,220541,16.500,2623074,859726
!,!,SAMPLE 3A,JO3A_a.d,Sample,,6/21/2023 3:31 PM,7.023,84044,10195,,,,10.001,0,0,12.679,12971,5996,12.864,8276861,2079766,13.556,894882,253028,16.465,2183881,870947
!,!,SAMPLE 5A,JO5A.d,Sample,,6/20/2023 7:30 PM,7.013,59255,6353,,,,9.898,0,0,12.645,4652,1110,12.853,6377670,1571415,13.545,748681,212595,16.477,3442653,1361600
!,!,SAMPLE 3B,JO3B.d,Sample,,6/21/2023 11:50 AM,6.997,85312,8620,,,,9.975,6265,1105,12.629,5991,1704,12.837,6934026,1955125,13.530,711149,220579,16.462,1946472,853690
!,!,SAMPLE 6A,JO6A.d,Sample,,6/20/2023 7:55 PM,6.991,76307,8516,,,,9.969,0,0,12.624,5689,1366,12.831,7878646,1907680,13.524,904088,244646,16.456,2236391,703182
!,!,SAMPLE 2B,JO2B.d,Sample,,6/21/2023 11:25 AM,6.991,44417,4746,,,,9.969,4558,906,12.646,6642,1797,12.854,7981642,2205113,13.547,919141,283196,16.479,4118037,1393880
!,!,SAMPLE 2A,JO2A_a.d,Sample,,6/21/2023 2:44 PM,6.976,90672,8864,,,,9.977,0,0,12.632,6941,1869,12.839,8045631,2061248,13.532,854574,257483,16.464,4042534,1598807
!,!,SAMPLE 5B,JO5B.d,Sample,,6/21/2023 12:40 PM,6.975,108361,10832,,,,9.953,7573,1516,12.631,6997,2017,12.839,8417468,2269091,13.531,798000,250562,16.463,1811011,750573
!,!,BLANK IPA,JOIPA.d,Sample,,6/21/2023 1:29 PM,6.975,84519,9443,,,,9.953,5944,1050,12.630,7191,1837,12.838,7754080,1970861,13.531,826268,240419,16.463,1888056,778661
!,!,BLANK ACN,JOACN.d,Sample,,6/21/2023 1:54 PM,6.972,132127,14795,,,,9.949,10720,1760,12.627,10482,2700,12.835,11260876,2743171,13.528,1293095,390630,16.459,5374265,2098460
!,!,BLANK 1B,JO1BB.d,Sample,,6/20/2023 8:20 PM,6.970,86063,9155,,,,9.970,0,0,12.625,5292,1198,12.833,6844492,1575796,13.525,784731,201347,16.457,2274270,807166
!,!,SAMPLE 4B,JO4B.d,Sample,,6/21/2023 12:15 PM,6.968,86661,10140,,,,9.969,6893,1357,12.624,6885,1771,12.832,8365661,2225348,13.525,911225,273475,16.456,4254556,1540556
!,!,BLANK 2B,JO2BB.d,Sample,,6/20/2023 8:45 PM,6.968,55544,5457,,,,9.992,0,0,12.623,3240,759,12.831,5165263,1293087,13.523,614223,179964,16.455,2695053,950251
!,!,SAMPLE 1A,JO1A_a.d,Sample,,6/21/2023 2:19 PM,6.964,87445,8109,,,,9.965,6870,1237,12.619,7447,1519,12.827,8412865,1976876,13.520,839854,226270,16.452,2102943,767875
!,!,SAMPLE 6B,JO6B.d,Sample,,6/21/2023 1:05 PM,6.963,66769,7925,,,,9.964,5593,1224,12.613,7086,1655,12.844,7388272,1785755,13.537,763878,219794,16.469,3828535,1446929
!,!,SAMPLE 4A,JO4AA.d,Sample,,6/20/2023 6:26 PM,6.855,0,0,,,,10.133,0,0,13.918,8466,2264,13.872,0,0,13.295,0,0,,,
!,!,SAMPLE 4A,JO4A.d,Sample,,6/20/2023 2:12 PM,,,,9.736,356361,47913,9.228,0,0,,,,,,,,,,,,
